league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
All,2023-24,2025-26,0.02,0.3,1.0,545,0.27156,24.43,0.044826,226,0.252212,-19.62,-0.086814,0
All,2023-24,2025-26,0.03,0.0,0.27,514,0.155642,-36.32,-0.070661,173,0.16763,-12.47,-0.072081,0
All,2023-24,2025-26,0.03,0.0,0.3,1100,0.173636,-115.48,-0.104982,389,0.203085,-1.45,-0.003728,0
All,2023-24,2025-26,0.03,0.0,0.33,1452,0.199725,-63.7,-0.043871,539,0.207792,-25.45,-0.047217,0
All,2023-24,2025-26,0.03,0.0,0.36,1546,0.199224,-95.85,-0.061999,573,0.207679,-35.87,-0.0626,0
All,2023-24,2025-26,0.03,0.0,1.0,1552,0.199098,-98.25,-0.063305,577,0.207972,-36.67,-0.063553,0
All,2023-24,2025-26,0.03,0.24,0.27,367,0.171662,-11.93,-0.032507,134,0.171642,-16.77,-0.125149,0
All,2023-24,2025-26,0.03,0.24,0.3,953,0.182581,-91.09,-0.095582,350,0.208571,-5.75,-0.016429,0
All,2023-24,2025-26,0.03,0.24,0.33,1305,0.209195,-39.31,-0.030123,500,0.212,-29.75,-0.0595,0
All,2023-24,2025-26,0.03,0.24,0.36,1399,0.208006,-71.46,-0.051079,534,0.21161,-40.17,-0.075225,0
All,2023-24,2025-26,0.03,0.24,1.0,1405,0.207829,-73.86,-0.052569,538,0.211896,-40.97,-0.076152,0
All,2023-24,2025-26,0.03,0.27,0.3,586,0.18942,-79.16,-0.135085,216,0.231481,11.02,0.051019,0
All,2023-24,2025-26,0.03,0.27,0.33,938,0.223881,-27.38,-0.02919,366,0.226776,-12.98,-0.035464,0
All,2023-24,2025-26,0.03,0.27,0.36,1032,0.22093,-59.53,-0.057684,400,0.225,-23.4,-0.0585,0
All,2023-24,2025-26,0.03,0.27,1.0,1038,0.220617,-61.93,-0.059663,404,0.225248,-24.2,-0.059901,0
All,2023-24,2025-26,0.03,0.3,0.33,352,0.28125,51.78,0.147102,150,0.22,-24.0,-0.16,0
All,2023-24,2025-26,0.03,0.3,0.36,446,0.262332,19.63,0.044013,184,0.217391,-34.42,-0.187065,0
All,2023-24,2025-26,0.03,0.3,1.0,452,0.261062,17.23,0.038119,188,0.218085,-35.22,-0.18734,0
All,2023-24,2025-26,0.04,0.0,0.27,445,0.155056,-19.65,-0.044157,146,0.143836,-20.74,-0.142055,0
All,2023-24,2025-26,0.04,0.0,0.3,920,0.165217,-97.39,-0.105859,317,0.18612,-11.44,-0.036088,0
All,2023-24,2025-26,0.04,0.0,0.33,1210,0.191736,-50.19,-0.041479,438,0.189498,-38.56,-0.088037,0
All,2023-24,2025-26,0.04,0.0,0.36,1283,0.190959,-76.99,-0.060008,463,0.190065,-46.29,-0.099978,0
All,2023-24,2025-26,0.04,0.0,1.0,1289,0.190846,-79.39,-0.06159,467,0.190578,-47.09,-0.100835,0
All,2023-24,2025-26,0.04,0.24,0.27,311,0.176849,9.23,0.029678,111,0.135135,-29.04,-0.261622,0
All,2023-24,2025-26,0.04,0.24,0.3,786,0.175573,-68.51,-0.087163,282,0.187943,-19.74,-0.07,0
All,2023-24,2025-26,0.04,0.24,0.33,1076,0.202602,-21.31,-0.019805,403,0.191067,-46.86,-0.116278,0
All,2023-24,2025-26,0.04,0.24,0.36,1149,0.201044,-48.11,-0.041871,428,0.191589,-54.59,-0.127547,0
All,2023-24,2025-26,0.04,0.24,1.0,1155,0.200866,-50.51,-0.043732,432,0.19213,-55.39,-0.128218,0
All,2023-24,2025-26,0.04,0.27,0.3,475,0.174737,-77.74,-0.163663,171,0.222222,9.3,0.054386,0
All,2023-24,2025-26,0.04,0.27,0.33,765,0.213072,-30.54,-0.039922,292,0.212329,-17.82,-0.061027,0
All,2023-24,2025-26,0.04,0.27,0.36,838,0.210024,-57.34,-0.068425,317,0.211356,-25.55,-0.080599,0
All,2023-24,2025-26,0.04,0.27,1.0,844,0.209716,-59.74,-0.070782,321,0.211838,-26.35,-0.082087,0
All,2023-24,2025-26,0.04,0.3,0.33,290,0.275862,47.2,0.162759,121,0.198347,-27.12,-0.224132,0
All,2023-24,2025-26,0.04,0.3,0.36,363,0.256198,20.4,0.056198,146,0.19863,-34.85,-0.238699,0
All,2023-24,2025-26,0.04,0.3,1.0,369,0.254743,18.0,0.04878,150,0.2,-35.65,-0.237667,0
