league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
Championship,2023-24,2025-26,0.02,0.3,0.33,97,0.226804,-13.09,-0.134948,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.3,0.36,112,0.205357,-24.9,-0.222321,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.02,0.3,1.0,113,0.20354,-25.9,-0.229204,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.0,0.3,131,0.145038,-43.68,-0.333435,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.0,0.33,208,0.173077,-53.76,-0.258462,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.0,0.36,222,0.166667,-64.57,-0.290856,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.0,1.0,223,0.165919,-65.57,-0.294036,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.24,0.3,129,0.147287,-41.68,-0.323101,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.24,0.33,206,0.174757,-51.76,-0.251262,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.24,0.36,220,0.168182,-62.57,-0.284409,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.24,1.0,221,0.167421,-63.57,-0.287647,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.27,0.3,95,0.157895,-26.46,-0.278526,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.27,0.33,172,0.186047,-36.54,-0.212442,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.27,0.36,186,0.177419,-47.35,-0.25457,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.27,1.0,187,0.176471,-48.35,-0.258556,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.3,0.33,77,0.220779,-10.08,-0.130909,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.3,0.36,91,0.197802,-20.89,-0.22956,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.03,0.3,1.0,92,0.195652,-21.89,-0.237935,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.0,0.3,100,0.12,-40.6,-0.406,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.0,0.33,157,0.159236,-44.78,-0.285223,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.0,0.36,167,0.155689,-51.59,-0.308922,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.0,1.0,168,0.154762,-52.59,-0.313036,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.24,0.3,98,0.122449,-38.6,-0.393878,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.24,0.33,155,0.16129,-42.78,-0.276,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.24,0.36,165,0.157576,-49.59,-0.300545,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.24,1.0,166,0.156627,-50.59,-0.304759,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.27,0.3,73,0.136986,-23.94,-0.327945,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.27,0.33,130,0.176923,-28.12,-0.216308,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.27,0.36,140,0.171429,-34.93,-0.2495,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.27,1.0,141,0.170213,-35.93,-0.254823,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.3,0.33,57,0.22807,-4.18,-0.073333,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.3,0.36,67,0.208955,-10.99,-0.16403,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.04,0.3,1.0,68,0.205882,-11.99,-0.176324,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.0,0.3,79,0.139241,-23.89,-0.302405,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.0,0.33,122,0.188525,-17.65,-0.144672,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.0,0.36,129,0.178295,-24.65,-0.191085,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.0,1.0,130,0.176923,-25.65,-0.197308,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.24,0.3,77,0.142857,-21.89,-0.284286,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.24,0.33,120,0.191667,-15.65,-0.130417,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.24,0.36,127,0.181102,-22.65,-0.178346,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.24,1.0,128,0.179688,-23.65,-0.184766,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.27,0.3,58,0.155172,-13.23,-0.228103,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.27,0.33,101,0.207921,-6.99,-0.069208,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.27,0.36,108,0.194444,-13.99,-0.129537,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.27,1.0,109,0.192661,-14.99,-0.137523,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.3,0.36,50,0.24,-0.76,-0.0152,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.05,0.3,1.0,51,0.235294,-1.76,-0.03451,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.0,0.27,141,0.198582,7.99,0.056667,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.0,0.3,222,0.22973,23.36,0.105225,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.0,0.33,236,0.233051,23.35,0.098941,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.0,0.36,237,0.232068,22.35,0.094304,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.0,1.0,237,0.232068,22.35,0.094304,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.24,0.27,96,0.21875,2.32,0.024167,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.24,0.3,177,0.248588,17.69,0.099944,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.24,0.33,191,0.251309,17.68,0.092565,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.24,0.36,192,0.25,16.68,0.086875,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.24,1.0,192,0.25,16.68,0.086875,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.27,0.3,81,0.283951,15.37,0.189753,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.27,0.33,95,0.284211,15.36,0.161684,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.27,0.36,96,0.28125,14.36,0.149583,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.0,0.27,1.0,96,0.28125,14.36,0.149583,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.0,0.27,121,0.181818,4.62,0.038182,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.0,0.3,190,0.215789,17.84,0.093895,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.0,0.33,203,0.216749,15.58,0.076749,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.0,0.36,204,0.215686,14.58,0.071471,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.0,1.0,204,0.215686,14.58,0.071471,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.24,0.27,79,0.202532,0.45,0.005696,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.24,0.3,148,0.236486,13.67,0.092365,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.24,0.33,161,0.236025,11.41,0.07087,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.24,0.36,162,0.234568,10.41,0.064259,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.24,1.0,162,0.234568,10.41,0.064259,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.27,0.3,69,0.275362,13.22,0.191594,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.27,0.33,82,0.268293,10.96,0.133659,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.27,0.36,83,0.26506,9.96,0.12,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.01,0.27,1.0,83,0.26506,9.96,0.12,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.0,0.27,111,0.189189,10.84,0.097658,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.0,0.3,169,0.213018,20.35,0.120414,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.0,0.33,181,0.209945,15.83,0.087459,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.0,0.36,182,0.208791,14.83,0.081484,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.0,1.0,182,0.208791,14.83,0.081484,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.24,0.27,73,0.205479,2.67,0.036575,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.24,0.3,131,0.229008,12.18,0.092977,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.24,0.33,143,0.223776,7.66,0.053566,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.24,0.36,144,0.222222,6.66,0.04625,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.24,1.0,144,0.222222,6.66,0.04625,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.27,0.3,58,0.258621,9.51,0.163966,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.27,0.33,70,0.242857,4.99,0.071286,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.27,0.36,71,0.239437,3.99,0.056197,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.02,0.27,1.0,71,0.239437,3.99,0.056197,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.0,0.27,102,0.176471,6.87,0.067353,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.0,0.3,149,0.194631,12.49,0.083826,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.0,0.33,159,0.188679,6.5,0.040881,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.0,0.36,160,0.1875,5.5,0.034375,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.0,1.0,160,0.1875,5.5,0.034375,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.24,0.27,66,0.19697,1.29,0.019545,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.24,0.3,113,0.212389,6.91,0.06115,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.24,0.33,123,0.203252,0.92,0.00748,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.24,0.36,124,0.201613,-0.08,-0.000645,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.24,1.0,124,0.201613,-0.08,-0.000645,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.27,0.33,57,0.210526,-0.37,-0.006491,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.27,0.36,58,0.206897,-1.37,-0.023621,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.03,0.27,1.0,58,0.206897,-1.37,-0.023621,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.0,0.27,90,0.166667,3.6,0.04,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.0,0.3,129,0.193798,13.15,0.101938,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.0,0.33,138,0.188406,8.16,0.05913,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.0,0.36,139,0.18705,7.16,0.051511,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.0,1.0,139,0.18705,7.16,0.051511,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.24,0.27,57,0.192982,1.33,0.023333,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.24,0.3,96,0.21875,10.88,0.113333,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.24,0.33,105,0.209524,5.89,0.056095,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.24,0.36,106,0.207547,4.89,0.046132,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.04,0.24,1.0,106,0.207547,4.89,0.046132,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.0,0.27,77,0.155844,2.75,0.035714,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.0,0.3,106,0.188679,14.22,0.134151,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.0,0.33,112,0.1875,12.23,0.109196,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.0,0.36,113,0.185841,11.23,0.099381,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.0,1.0,113,0.185841,11.23,0.099381,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.24,0.3,76,0.210526,8.95,0.117763,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.24,0.33,82,0.207317,6.96,0.084878,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.24,0.36,83,0.204819,5.96,0.071807,0,0.0,0.0,0.0,0
Eredivisie,2023-24,2025-26,0.05,0.24,1.0,83,0.204819,5.96,0.071807,0,0.0,0.0,0.0,0
La Liga,2023-24,2025-26,0.0,0.0,0.3,146,0.232877,-1.08,-0.007397,129,0.186047,-29.82,-0.231163,0
La Liga,2023-24,2025-26,0.0,0.0,0.33,230,0.252174,7.0,0.030435,189,0.216931,-30.7,-0.162434,0
La Liga,2023-24,2025-26,0.0,0.0,0.36,257,0.252918,2.69,0.010467,202,0.217822,-34.18,-0.169208,0
La Liga,2023-24,2025-26,0.0,0.0,1.0,259,0.250965,0.69,0.002664,203,0.221675,-32.31,-0.159163,0
La Liga,2023-24,2025-26,0.0,0.24,0.3,143,0.230769,-6.12,-0.042797,123,0.195122,-23.82,-0.193659,0
La Liga,2023-24,2025-26,0.0,0.24,0.33,227,0.251101,1.96,0.008634,183,0.224044,-24.7,-0.134973,0
La Liga,2023-24,2025-26,0.0,0.24,0.36,254,0.251969,-2.35,-0.009252,196,0.22449,-28.18,-0.143776,0
La Liga,2023-24,2025-26,0.0,0.24,1.0,256,0.25,-4.35,-0.016992,197,0.228426,-26.31,-0.133553,0
La Liga,2023-24,2025-26,0.0,0.27,0.3,103,0.23301,-7.72,-0.074951,88,0.25,0.34,0.003864,0
La Liga,2023-24,2025-26,0.0,0.27,0.33,187,0.256684,0.36,0.001925,148,0.263514,-0.54,-0.003649,0
La Liga,2023-24,2025-26,0.0,0.27,0.36,214,0.257009,-3.95,-0.018458,161,0.26087,-4.02,-0.024969,0
La Liga,2023-24,2025-26,0.0,0.27,1.0,216,0.25463,-5.95,-0.027546,162,0.265432,-2.15,-0.013272,0
La Liga,2023-24,2025-26,0.0,0.3,0.33,84,0.285714,8.08,0.09619,60,0.283333,-0.88,-0.014667,0
La Liga,2023-24,2025-26,0.0,0.3,0.36,111,0.279279,3.77,0.033964,73,0.273973,-4.36,-0.059726,0
La Liga,2023-24,2025-26,0.0,0.3,1.0,113,0.274336,1.77,0.015664,74,0.283784,-2.49,-0.033649,0
La Liga,2023-24,2025-26,0.01,0.0,0.3,126,0.206349,-9.72,-0.077143,110,0.163636,-31.4,-0.285455,0
La Liga,2023-24,2025-26,0.01,0.0,0.33,202,0.242574,3.28,0.016238,158,0.196203,-33.0,-0.208861,0
La Liga,2023-24,2025-26,0.01,0.0,0.36,229,0.244541,-1.03,-0.004498,169,0.201183,-34.48,-0.204024,0
La Liga,2023-24,2025-26,0.01,0.0,1.0,231,0.242424,-3.03,-0.013117,170,0.205882,-32.61,-0.191824,0
La Liga,2023-24,2025-26,0.01,0.24,0.3,123,0.203252,-14.76,-0.12,104,0.173077,-25.4,-0.244231,0
La Liga,2023-24,2025-26,0.01,0.24,0.33,199,0.241206,-1.76,-0.008844,152,0.203947,-27.0,-0.177632,0
La Liga,2023-24,2025-26,0.01,0.24,0.36,226,0.243363,-6.07,-0.026858,163,0.208589,-28.48,-0.174724,0
La Liga,2023-24,2025-26,0.01,0.24,1.0,228,0.241228,-8.07,-0.035395,164,0.213415,-26.61,-0.162256,0
La Liga,2023-24,2025-26,0.01,0.27,0.3,87,0.206897,-12.6,-0.144828,69,0.231884,-1.24,-0.017971,0
La Liga,2023-24,2025-26,0.01,0.27,0.33,163,0.251534,0.4,0.002454,117,0.247863,-2.84,-0.024274,0
La Liga,2023-24,2025-26,0.01,0.27,0.36,190,0.252632,-3.91,-0.020579,128,0.25,-4.32,-0.03375,0
La Liga,2023-24,2025-26,0.01,0.27,1.0,192,0.25,-5.91,-0.030781,129,0.255814,-2.45,-0.018992,0
La Liga,2023-24,2025-26,0.01,0.3,0.33,76,0.302632,13.0,0.171053,48,0.270833,-1.6,-0.033333,0
La Liga,2023-24,2025-26,0.01,0.3,0.36,103,0.291262,8.69,0.084369,59,0.271186,-3.08,-0.052203,0
La Liga,2023-24,2025-26,0.01,0.3,1.0,105,0.285714,6.69,0.063714,60,0.283333,-1.21,-0.020167,0
La Liga,2023-24,2025-26,0.02,0.0,0.3,101,0.188119,-10.39,-0.102871,94,0.138298,-33.02,-0.351277,0
La Liga,2023-24,2025-26,0.02,0.0,0.33,162,0.240741,7.37,0.045494,134,0.186567,-30.02,-0.22403,0
La Liga,2023-24,2025-26,0.02,0.0,0.36,188,0.239362,0.97,0.00516,144,0.194444,-30.5,-0.211806,0
La Liga,2023-24,2025-26,0.02,0.0,1.0,189,0.238095,-0.03,-0.000159,145,0.2,-28.63,-0.197448,0
La Liga,2023-24,2025-26,0.02,0.24,0.3,98,0.183673,-15.43,-0.157449,89,0.146067,-28.02,-0.314831,0
La Liga,2023-24,2025-26,0.02,0.24,0.33,159,0.238994,2.33,0.014654,129,0.193798,-25.02,-0.193953,0
La Liga,2023-24,2025-26,0.02,0.24,0.36,185,0.237838,-4.07,-0.022,139,0.201439,-25.5,-0.183453,0
La Liga,2023-24,2025-26,0.02,0.24,1.0,186,0.236559,-5.07,-0.027258,140,0.207143,-23.63,-0.168786,0
La Liga,2023-24,2025-26,0.02,0.27,0.3,69,0.188406,-12.29,-0.178116,57,0.192982,-6.86,-0.120351,0
La Liga,2023-24,2025-26,0.02,0.27,0.33,130,0.253846,5.47,0.042077,97,0.237113,-3.86,-0.039794,0
La Liga,2023-24,2025-26,0.02,0.27,0.36,156,0.25,-0.93,-0.005962,107,0.242991,-4.34,-0.040561,0
La Liga,2023-24,2025-26,0.02,0.27,1.0,157,0.248408,-1.93,-0.012293,108,0.25,-2.47,-0.02287,0
La Liga,2023-24,2025-26,0.02,0.3,0.33,61,0.327869,17.76,0.291148,40,0.3,3.0,0.075,1
La Liga,2023-24,2025-26,0.02,0.3,0.36,87,0.298851,11.36,0.130575,50,0.3,2.52,0.0504,1
La Liga,2023-24,2025-26,0.02,0.3,1.0,88,0.295455,10.36,0.117727,51,0.313725,4.39,0.086078,1
La Liga,2023-24,2025-26,0.03,0.0,0.3,79,0.139241,-19.53,-0.247215,79,0.126582,-29.35,-0.371519,0
La Liga,2023-24,2025-26,0.03,0.0,0.33,130,0.2,-8.81,-0.067769,107,0.158879,-31.39,-0.293364,0
La Liga,2023-24,2025-26,0.03,0.0,0.36,151,0.205298,-13.21,-0.087483,116,0.172414,-30.87,-0.266121,0
La Liga,2023-24,2025-26,0.03,0.0,1.0,152,0.203947,-14.21,-0.093487,116,0.172414,-30.87,-0.266121,0
La Liga,2023-24,2025-26,0.03,0.24,0.3,76,0.131579,-24.57,-0.323289,74,0.135135,-24.35,-0.329054,0
La Liga,2023-24,2025-26,0.03,0.24,0.33,127,0.19685,-13.85,-0.109055,102,0.166667,-26.39,-0.258725,0
La Liga,2023-24,2025-26,0.03,0.24,0.36,148,0.202703,-18.25,-0.123311,111,0.18018,-25.87,-0.233063,0
La Liga,2023-24,2025-26,0.03,0.24,1.0,149,0.201342,-19.25,-0.129195,111,0.18018,-25.87,-0.233063,0
La Liga,2023-24,2025-26,0.03,0.27,0.3,52,0.153846,-13.93,-0.267885,45,0.177778,-6.19,-0.137556,0
La Liga,2023-24,2025-26,0.03,0.27,0.33,103,0.223301,-3.21,-0.031165,73,0.205479,-8.23,-0.11274,0
La Liga,2023-24,2025-26,0.03,0.27,0.36,124,0.225806,-7.61,-0.061371,82,0.219512,-7.71,-0.094024,0
La Liga,2023-24,2025-26,0.03,0.27,1.0,125,0.224,-8.61,-0.06888,82,0.219512,-7.71,-0.094024,0
La Liga,2023-24,2025-26,0.03,0.3,0.33,51,0.294118,10.72,0.210196,28,0.25,-2.04,-0.072857,0
La Liga,2023-24,2025-26,0.03,0.3,0.36,72,0.277778,6.32,0.087778,37,0.27027,-1.52,-0.041081,0
La Liga,2023-24,2025-26,0.03,0.3,1.0,73,0.273973,5.32,0.072877,37,0.27027,-1.52,-0.041081,0
La Liga,2023-24,2025-26,0.04,0.0,0.3,68,0.147059,-12.62,-0.185588,64,0.125,-22.02,-0.344062,0
La Liga,2023-24,2025-26,0.04,0.0,0.33,113,0.19469,-6.34,-0.056106,85,0.164706,-20.51,-0.241294,0
La Liga,2023-24,2025-26,0.04,0.0,0.36,128,0.1875,-14.15,-0.110547,90,0.166667,-22.3,-0.247778,0
La Liga,2023-24,2025-26,0.04,0.0,1.0,129,0.186047,-15.15,-0.117442,90,0.166667,-22.3,-0.247778,0
La Liga,2023-24,2025-26,0.04,0.24,0.3,65,0.138462,-17.66,-0.271692,60,0.133333,-18.02,-0.300333,0
La Liga,2023-24,2025-26,0.04,0.24,0.33,110,0.190909,-11.38,-0.103455,81,0.17284,-16.51,-0.203827,0
La Liga,2023-24,2025-26,0.04,0.24,0.36,125,0.184,-19.19,-0.15352,86,0.174419,-18.3,-0.212791,0
La Liga,2023-24,2025-26,0.04,0.24,1.0,126,0.18254,-20.19,-0.160238,86,0.174419,-18.3,-0.212791,0
La Liga,2023-24,2025-26,0.04,0.27,0.33,89,0.213483,-3.74,-0.042022,56,0.214286,-2.35,-0.041964,0
La Liga,2023-24,2025-26,0.04,0.27,0.36,104,0.201923,-11.55,-0.111058,61,0.213115,-4.14,-0.067869,0
La Liga,2023-24,2025-26,0.04,0.27,1.0,105,0.2,-12.55,-0.119524,61,0.213115,-4.14,-0.067869,0
La Liga,2023-24,2025-26,0.04,0.3,0.36,60,0.233333,-1.53,-0.0255,26,0.269231,-0.28,-0.010769,0
La Liga,2023-24,2025-26,0.04,0.3,1.0,61,0.229508,-2.53,-0.041475,26,0.269231,-0.28,-0.010769,0
La Liga,2023-24,2025-26,0.05,0.0,0.3,55,0.145455,-7.67,-0.139455,56,0.125,-17.96,-0.320714,0
La Liga,2023-24,2025-26,0.05,0.0,0.33,92,0.195652,-0.5,-0.005435,69,0.115942,-26.53,-0.384493,0
La Liga,2023-24,2025-26,0.05,0.0,0.36,102,0.186275,-6.63,-0.065,73,0.123288,-27.32,-0.374247,0
La Liga,2023-24,2025-26,0.05,0.0,1.0,102,0.186275,-6.63,-0.065,73,0.123288,-27.32,-0.374247,0
La Liga,2023-24,2025-26,0.05,0.24,0.3,52,0.134615,-12.71,-0.244423,52,0.134615,-13.96,-0.268462,0
La Liga,2023-24,2025-26,0.05,0.24,0.33,89,0.191011,-5.54,-0.062247,65,0.123077,-22.53,-0.346615,0
La Liga,2023-24,2025-26,0.05,0.24,0.36,99,0.181818,-11.67,-0.117879,69,0.130435,-23.32,-0.337971,0
La Liga,2023-24,2025-26,0.05,0.24,1.0,99,0.181818,-11.67,-0.117879,69,0.130435,-23.32,-0.337971,0
La Liga,2023-24,2025-26,0.05,0.27,0.33,71,0.211268,-0.9,-0.012676,44,0.136364,-12.37,-0.281136,0
La Liga,2023-24,2025-26,0.05,0.27,0.36,81,0.197531,-7.03,-0.08679,48,0.145833,-13.16,-0.274167,0
La Liga,2023-24,2025-26,0.05,0.27,1.0,81,0.197531,-7.03,-0.08679,48,0.145833,-13.16,-0.274167,0
Ligue 1,2023-24,2025-26,0.0,0.0,0.3,140,0.278571,19.48,0.139143,139,0.230216,-8.74,-0.062878,0
Ligue 1,2023-24,2025-26,0.0,0.0,0.33,221,0.285068,34.99,0.158326,190,0.252632,-2.03,-0.010684,0
Ligue 1,2023-24,2025-26,0.0,0.0,0.36,243,0.263374,16.08,0.066173,195,0.246154,-7.03,-0.036051,0
Ligue 1,2023-24,2025-26,0.0,0.0,1.0,245,0.265306,17.68,0.072163,196,0.244898,-8.03,-0.040969,0
Ligue 1,2023-24,2025-26,0.0,0.24,0.3,136,0.279412,17.67,0.129926,128,0.234375,-7.95,-0.062109,0
Ligue 1,2023-24,2025-26,0.0,0.24,0.33,217,0.285714,33.18,0.152903,179,0.256983,-1.24,-0.006927,0
Ligue 1,2023-24,2025-26,0.0,0.24,0.36,239,0.263598,14.27,0.059707,184,0.25,-6.24,-0.033913,0
Ligue 1,2023-24,2025-26,0.0,0.24,1.0,241,0.26556,15.87,0.065851,185,0.248649,-7.24,-0.039135,0
Ligue 1,2023-24,2025-26,0.0,0.27,0.3,103,0.300971,17.44,0.16932,85,0.270588,1.31,0.015412,1
Ligue 1,2023-24,2025-26,0.0,0.27,0.33,184,0.298913,32.95,0.179076,136,0.286765,8.02,0.058971,1
Ligue 1,2023-24,2025-26,0.0,0.27,0.36,206,0.271845,14.04,0.068155,141,0.276596,3.02,0.021418,1
Ligue 1,2023-24,2025-26,0.0,0.27,1.0,208,0.274038,15.64,0.075192,142,0.274648,2.02,0.014225,1
Ligue 1,2023-24,2025-26,0.0,0.3,0.33,81,0.296296,15.51,0.191481,51,0.313725,6.71,0.131569,1
Ligue 1,2023-24,2025-26,0.0,0.3,0.36,103,0.242718,-3.4,-0.03301,56,0.285714,1.71,0.030536,0
Ligue 1,2023-24,2025-26,0.0,0.3,1.0,105,0.247619,-1.8,-0.017143,57,0.280702,0.71,0.012456,0
Ligue 1,2023-24,2025-26,0.01,0.0,0.3,116,0.275862,18.9,0.162931,103,0.174757,-23.59,-0.229029,0
Ligue 1,2023-24,2025-26,0.01,0.0,0.33,191,0.287958,37.34,0.195497,147,0.217687,-16.37,-0.111361,0
Ligue 1,2023-24,2025-26,0.01,0.0,0.36,213,0.262911,18.43,0.086526,152,0.210526,-21.37,-0.140592,0
