subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
positive_edge,2023-24,6688,2023-09-16T14:30:00+00:00,Eredivisie,Netherlands,Feyenoord,SC Heerenveen,home,Feyenoord,away,SC Heerenveen,0.09309,0.231093,0.138003,home,6,1,7,0,1,0,0,1,0,1,0,0,0,0,0,0,6.94,1.21,13.59,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.21,-1.0,,,,,,,,,,
positive_edge,2023-24,6689,2023-09-16T16:45:00+00:00,Eredivisie,Netherlands,Vitesse,RKC Waalwijk,home,Vitesse,away,RKC Waalwijk,0.064364,0.267398,0.203034,away,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,4.77,1.52,6.06,,,,1.41,,1.41,,3.01,,3.01,1,0,1,0,0,1,0,1,-1.0,-1.0,5.06,,,,-1.0,,-1.0,,2.01,,2.01
positive_edge,2023-24,6690,2023-09-16T18:00:00+00:00,Eredivisie,Netherlands,Fortuna Sittard,FC Volendam,home,Fortuna Sittard,away,FC Volendam,0.080764,0.280866,0.200102,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,4.84,1.51,6.11,,,2.62,1.42,2.62,1.42,1.53,2.99,1.53,2.99,0,1,0,1,1,0,1,0,-1.0,0.51,-1.0,,,-1.0,0.42,-1.0,0.42,0.53,-1.0,0.53,-1.0
positive_edge,2023-24,6691,2023-09-16T18:00:00+00:00,Eredivisie,Netherlands,PSV,NEC,home,PSV,away,NEC,0.150896,0.257226,0.106331,home,4,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,9.08,1.15,17.84,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.15,-1.0,,,,,,,,,,
positive_edge,2023-24,6700,2023-09-23T18:00:00+00:00,Eredivisie,Netherlands,Almere City,PSV,away,PSV,home,Almere City,0.127052,0.251015,0.123963,away,0,4,4,0,1,0,0,1,0,0,1,0,0,0,0,0,7.79,1.19,14.96,,,,,,,,,,,1,0,0,1,0,1,1,0,-1.0,0.19,-1.0,,,,,,,,,,
positive_edge,2023-24,6703,2023-09-24T14:45:00+00:00,Eredivisie,Netherlands,RKC Waalwijk,FC Twente,away,FC Twente,home,RKC Waalwijk,0.053246,0.258467,0.205221,home,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,4.71,1.51,6.25,,,1.43,,,1.43,3.03,,,3.03,1,1,1,1,0,0,0,0,-1.0,-1.0,5.25,,,0.43,,,0.43,-1.0,,,-1.0
positive_edge,2023-24,6705,2023-09-27T16:45:00+00:00,Eredivisie,Netherlands,PSV,Go Ahead Eagles,home,PSV,away,Go Ahead Eagles,0.146428,0.240045,0.093617,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,10.31,1.14,16.16,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.14,-1.0,,,,,,,,,,
positive_edge,2023-24,6706,2023-09-27T18:00:00+00:00,Eredivisie,Netherlands,FC Twente,Vitesse,home,FC Twente,away,Vitesse,0.087358,0.268481,0.181124,home,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,5.35,1.36,9.11,,,2.62,,2.62,,1.51,,1.51,,1,1,1,1,0,0,0,0,-1.0,0.36,-1.0,,,1.62,,1.62,,-1.0,,-1.0,
positive_edge,2023-24,6707,2023-09-28T18:00:00+00:00,Eredivisie,Netherlands,AZ,Heracles Almelo,home,AZ,away,Heracles Almelo,0.10648,0.240362,0.133881,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,7.21,1.21,14.12,,,,,,,,,,,1,1,1,1,0,0,0,0,6.21,-1.0,-1.0,,,,,,,,,,
positive_edge,2023-24,6708,2023-09-30T14:30:00+00:00,Eredivisie,Netherlands,Feyenoord,Go Ahead Eagles,home,Feyenoord,away,Go Ahead Eagles,0.105079,0.21202,0.106941,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,9.03,1.16,15.94,,,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.16,-1.0,,,,,,,,,,
