league,sample,sample_note,market,bet_count,roi,roi_ci_low,roi_ci_high
Ligue 1,strict_oos,,home_tt_over_1_5,99,-0.182929,-0.392527,0.026668
Ligue 1,strict_oos,,underdog_ml,119,-0.275462,-0.555442,0.004518
La Liga,broad,,favorite_ml,461,0.065987,-0.016215,0.148189
La Liga,broad,,home_tt_over_1_5,336,0.011071,-0.104409,0.126552
La Liga,broad,,favorite_tt_over_1_5,384,0.006927,-0.094629,0.108484
La Liga,broad,,over_2_5,462,-0.010736,-0.097306,0.075834
La Liga,broad,,away_tt_over_1_5,174,-0.028161,-0.196392,0.14007
La Liga,broad,,underdog_tt_over_1_5,124,-0.034032,-0.266616,0.198551
La Liga,broad,,underdog_tt_under_1_5,124,-0.057339,-0.181706,0.067029
La Liga,broad,,away_tt_under_1_5,174,-0.064713,-0.195791,0.066365
La Liga,broad,,draw,462,-0.068442,-0.225997,0.089114
La Liga,broad,,favorite_tt_under_1_5,384,-0.090182,-0.187175,0.00681
La Liga,broad,,home_tt_under_1_5,336,-0.091756,-0.190956,0.007444
La Liga,broad,,under_2_5,462,-0.098983,-0.192357,-0.005608
La Liga,broad,,underdog_ml,461,-0.307289,-0.470309,-0.144268
La Liga,strict_oos,,draw,139,0.106115,-0.178922,0.391152
La Liga,strict_oos,,home_tt_over_1_5,115,0.020087,-0.179938,0.220111
La Liga,strict_oos,,away_tt_under_1_5,45,0.014889,-0.225774,0.255552
La Liga,strict_oos,,underdog_tt_over_1_5,29,0.002069,-0.511146,0.515284
La Liga,strict_oos,,favorite_tt_over_1_5,131,-0.018931,-0.200613,0.162751
La Liga,strict_oos,,favorite_ml,139,-0.020432,-0.180213,0.13935
La Liga,strict_oos,,over_2_5,139,-0.027914,-0.197081,0.141254
La Liga,strict_oos,,underdog_tt_under_1_5,29,-0.045172,-0.30265,0.212305
La Liga,strict_oos,,favorite_tt_under_1_5,131,-0.070611,-0.227318,0.086097
La Liga,strict_oos,,home_tt_under_1_5,115,-0.097652,-0.262404,0.0671
La Liga,strict_oos,,away_tt_over_1_5,45,-0.105111,-0.460139,0.249917
La Liga,strict_oos,,under_2_5,139,-0.11,-0.258368,0.038368
La Liga,strict_oos,,underdog_ml,139,-0.19518,-0.505249,0.114889
