season,league,edge_bucket,p_draw_bucket,fixtures,pickem_fixtures,classified_fixtures,draws,favorite_wins,underdog_wins,pickem_non_draw_games,draw_rate,favorite_win_pct_of_non_draws,underdog_win_pct_of_non_draws,favorite_win_rate_of_classified_fixtures,underdog_win_rate_of_classified_fixtures,avg_model_draw_probability,avg_market_draw_probability,avg_draw_edge,positive_edge_fixtures,surviving_rule_fixtures,avg_draw_odds,draw_roi_units,draw_roi,favorite_ml_bets,avg_favorite_ml_odds,favorite_ml_roi_units,favorite_ml_roi,underdog_ml_bets,avg_underdog_ml_odds,underdog_ml_roi_units,underdog_ml_roi
2023-24,Premier League,0.01-0.02,<0.18,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.179119,0.16659,0.012529,1,0,5.8,-1.0,-1.0,1,1.34,0.34,0.34,1,8.6,-1.0,-1.0
2023-24,Premier League,0.01-0.02,All,38,0,38,6,24,8,0,0.157895,0.75,0.25,0.631579,0.210526,0.261908,0.247277,0.01463,38,0,3.972368,-15.17,-0.399211,38,1.985,6.87,0.180789,38,4.187632,-8.81,-0.231842
2023-24,Premier League,0.02-0.03,0.21-0.24,4,0,4,1,3,0,0,0.25,1.0,0.0,0.75,0.0,0.232452,0.2063,0.026152,4,0,4.705,0.64,0.16,4,1.6375,1.0,0.25,4,4.9625,-4.0,-1.0
2023-24,Premier League,0.02-0.03,0.24-0.27,15,0,15,2,8,5,0,0.133333,0.615385,0.384615,0.533333,0.333333,0.255783,0.231939,0.023844,15,0,4.19,-6.58,-0.438667,15,1.864667,-0.48,-0.032,15,4.355333,6.01,0.400667
2023-24,Premier League,0.02-0.03,0.27-0.30,11,0,11,2,8,1,0,0.181818,0.888889,0.111111,0.727273,0.090909,0.282361,0.257493,0.024868,11,0,3.779091,-3.75,-0.340909,11,2.070909,4.43,0.402727,11,3.79,-7.84,-0.712727
2023-24,Premier League,0.02-0.03,<0.18,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.147671,0.125203,0.022468,1,0,7.7,-1.0,-1.0,1,1.2,0.2,0.2,1,13.5,-1.0,-1.0
2023-24,Premier League,0.02-0.03,All,31,0,31,5,20,6,0,0.16129,0.769231,0.230769,0.645161,0.193548,0.258716,0.234255,0.024461,31,0,4.223871,-10.69,-0.344839,31,1.887097,5.15,0.166129,31,4.528065,-6.83,-0.220323
2023-24,Premier League,0.03-0.05,0.18-0.21,2,0,2,0,2,0,0,0.0,1.0,0.0,1.0,0.0,0.193626,0.159241,0.034385,2,0,6.09,-2.0,-1.0,2,1.35,0.7,0.35,2,8.135,-2.0,-1.0
2023-24,Premier League,0.03-0.05,0.21-0.24,4,0,4,1,2,1,0,0.25,0.666667,0.333333,0.5,0.25,0.223604,0.185587,0.038017,4,0,5.235,1.38,0.345,4,1.44,-1.23,-0.3075,4,7.11,1.62,0.405
2023-24,Premier League,0.03-0.05,0.24-0.27,22,0,22,5,16,1,0,0.227273,0.941176,0.058824,0.727273,0.045455,0.25603,0.216962,0.039068,22,0,4.478636,0.73,0.033182,22,1.626364,4.08,0.185455,22,5.444091,-15.94,-0.724545
