subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
surviving_rule,2023-24,3182,2023-10-29T12:00:00+00:00,Ligue 1,France,Brest,Paris Saint-Germain,away,Paris Saint-Germain,home,Brest,0.097989,0.312222,0.214233,away,2,3,5,0,1,0,0,1,0,1,0,0,0,0,0,0,4.52,1.57,5.73,2.2,1.65,,2.51,2.51,,,1.52,1.52,,0,0,0,0,1,1,1,1,-1.0,0.57,-1.0,-1.0,0.65,,-1.0,-1.0,,,0.52,0.52,
surviving_rule,2023-24,3185,2023-10-29T14:00:00+00:00,Ligue 1,France,Montpellier HSC,Toulouse,home,Montpellier HSC,away,Toulouse,0.059769,0.311704,0.251936,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,3.81,1.82,4.35,2.08,1.73,1.99,,1.99,,1.9,,1.9,,0,1,0,1,1,0,1,0,-1.0,0.82,-1.0,-1.0,0.73,-1.0,,-1.0,,0.9,,0.9,
surviving_rule,2023-24,3189,2023-11-04T20:00:00+00:00,Ligue 1,France,Marseille,Lille,home,Marseille,away,Lille,0.046283,0.307022,0.260739,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.72,1.9,4.24,2.01,1.89,1.86,1.51,1.86,1.51,1.97,3.07,1.97,3.07,1,1,1,1,0,0,0,0,2.72,-1.0,-1.0,1.01,-1.0,0.86,0.51,0.86,0.51,-1.0,-1.0,-1.0,-1.0
surviving_rule,2023-24,3190,2023-11-05T12:00:00+00:00,Ligue 1,France,Lyon,Metz,home,Lyon,away,Metz,0.078767,0.319658,0.24089,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.95,1.62,5.54,2.08,1.73,2.17,,2.17,,1.76,,1.76,,1,1,1,1,0,0,0,0,2.95,-1.0,-1.0,1.08,-1.0,1.17,,1.17,,-1.0,,-1.0,
surviving_rule,2023-24,3192,2023-11-05T14:00:00+00:00,Ligue 1,France,Strasbourg,Clermont Foot,home,Strasbourg,away,Clermont Foot,0.027552,0.328056,0.300504,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.23,2.45,3.2,1.65,2.2,1.51,,1.51,,2.72,,2.72,,1,1,1,1,0,0,0,0,2.23,-1.0,-1.0,0.65,-1.0,0.51,,0.51,,-1.0,,-1.0,
surviving_rule,2023-24,3195,2023-11-05T19:45:00+00:00,Ligue 1,France,Nice,Stade Rennais,home,Nice,away,Stade Rennais,0.032725,0.322394,0.289669,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.33,2.11,3.81,1.7,2.1,1.61,1.4,1.61,1.4,2.44,2.98,2.44,2.98,0,1,0,1,1,0,1,0,-1.0,1.11,-1.0,0.7,-1.0,-1.0,0.4,-1.0,0.4,1.44,-1.0,1.44,-1.0
surviving_rule,2023-24,3196,2023-11-10T20:00:00+00:00,Ligue 1,France,Montpellier HSC,Nice,away,Nice,home,Montpellier HSC,0.037993,0.321849,0.283856,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.38,2.12,3.64,1.85,2.05,1.41,1.72,1.72,1.41,3.05,2.2,2.2,3.05,1,1,1,1,0,0,0,0,2.38,-1.0,-1.0,0.85,-1.0,0.41,0.72,0.72,0.41,-1.0,-1.0,-1.0,-1.0
surviving_rule,2023-24,3197,2023-11-11T16:00:00+00:00,Ligue 1,France,Stade de Reims,Paris Saint-Germain,away,Paris Saint-Germain,home,Stade de Reims,0.086407,0.301485,0.215078,away,0,3,3,0,1,0,0,1,1,0,1,0,0,0,0,0,4.35,1.55,5.16,2.3,1.6,1.4,2.46,2.46,1.4,2.96,1.54,1.54,2.96,1,0,0,1,0,1,1,0,-1.0,0.55,-1.0,-1.0,0.6,0.4,-1.0,-1.0,0.4,-1.0,0.54,0.54,-1.0
surviving_rule,2023-24,3198,2023-11-11T20:00:00+00:00,Ligue 1,France,Le Havre AC,AS Monaco,away,AS Monaco,home,Le Havre AC,0.075592,0.314952,0.239359,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,4.05,1.73,4.84,2.08,1.73,,2.23,2.23,,,1.76,1.76,,1,1,1,1,0,0,0,0,3.05,-1.0,-1.0,1.08,-1.0,,1.23,1.23,,,-1.0,-1.0,
surviving_rule,2023-24,3200,2023-11-12T14:00:00+00:00,Ligue 1,France,Lille,Toulouse,home,Lille,away,Toulouse,0.094723,0.315492,0.220769,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,4.37,1.56,6.0,2.05,1.75,2.47,,2.47,,1.69,,1.69,,1,1,1,1,0,0,0,0,3.37,-1.0,-1.0,1.05,-1.0,1.47,,1.47,,-1.0,,-1.0,
