season,league,p_draw_bucket,fixtures,avg_model_draw_probability,observed_draw_rate,avg_market_draw_probability,avg_edge,blind_draw_roi
2025-26,All,0.27-0.30,628,0.284484,0.269108,0.260321,0.024163,0.002548
2025-26,All,0.30-0.33,329,0.311402,0.258359,0.278951,0.032451,-0.107964
2025-26,All,<0.18,2,0.1762,0.5,0.074875,0.101325,6.125
2025-26,All,>=0.33,59,0.343201,0.254237,0.296438,0.046764,-0.199492
2025-26,Bundesliga,0.18-0.21,10,0.191918,0.0,0.120465,0.071454,-1.0
2025-26,Bundesliga,0.21-0.24,48,0.229737,0.229167,0.222755,0.006982,-0.057917
2025-26,Bundesliga,0.24-0.27,131,0.256426,0.229008,0.242266,0.014159,-0.077405
2025-26,Bundesliga,0.27-0.30,72,0.281683,0.319444,0.264359,0.017325,0.140139
2025-26,Bundesliga,0.30-0.33,7,0.304823,0.142857,0.281208,0.023614,-0.511429
2025-26,Bundesliga,<0.18,2,0.1762,0.5,0.074875,0.101325,6.125
2025-26,La Liga,0.21-0.24,6,0.227338,0.0,0.164502,0.062835,-1.0
2025-26,La Liga,0.24-0.27,56,0.260458,0.25,0.216358,0.0441,-0.075357
2025-26,La Liga,0.27-0.30,148,0.285577,0.263514,0.264891,0.020686,-0.040541
2025-26,La Liga,0.30-0.33,86,0.311109,0.244186,0.291878,0.019231,-0.172558
2025-26,La Liga,>=0.33,14,0.344566,0.285714,0.306822,0.037745,-0.115
2025-26,Ligue 1,0.18-0.21,1,0.206095,0.0,0.17993,0.026164,-1.0
2025-26,Ligue 1,0.21-0.24,14,0.227325,0.142857,0.199766,0.02756,-0.270714
2025-26,Ligue 1,0.24-0.27,86,0.25755,0.209302,0.242505,0.015045,-0.162907
2025-26,Ligue 1,0.27-0.30,106,0.283408,0.245283,0.24954,0.033867,-0.091698
2025-26,Ligue 1,0.30-0.33,54,0.31002,0.333333,0.263807,0.046213,0.184074
2025-26,Ligue 1,>=0.33,6,0.343101,0.0,0.294482,0.048618,-1.0
2025-26,Premier League,0.21-0.24,13,0.233727,0.307692,0.208373,0.025355,0.581538
2025-26,Premier League,0.24-0.27,92,0.259122,0.282609,0.239754,0.019368,0.18337
2025-26,Premier League,0.27-0.30,176,0.283836,0.255682,0.257073,0.026763,-0.023295
2025-26,Premier League,0.30-0.33,44,0.309092,0.295455,0.257562,0.05153,0.074545
2025-26,Premier League,>=0.33,4,0.339763,0.25,0.288801,0.050962,-0.1325
2025-26,Serie A,0.21-0.24,2,0.232202,0.0,0.204262,0.02794,-1.0
2025-26,Serie A,0.24-0.27,29,0.260827,0.241379,0.236183,0.024645,-0.13069
2025-26,Serie A,0.27-0.30,126,0.28661,0.285714,0.26625,0.02036,0.089921
2025-26,Serie A,0.30-0.33,138,0.313195,0.231884,0.283527,0.029668,-0.21971
2025-26,Serie A,>=0.33,35,0.343066,0.285714,0.293492,0.049573,-0.103714
